หมวดย่อย,ชื่อ
01,"การเพาะปลูก และการเลี้ยงสัตว์การล่าสัตว์ และกิจกรรม
บริการที่เกี่ยวข้อง"
02,ป่าไม้และการทำไม้
03,การประมงและการเพาะเลี้ยงสัตว์น้ำ
04,
05,การทำเหมืองถ่านหิน และลิกไนต์
06,การผลิตน้ำมันดิบ และก๊าซธรรมชาติ
07,การทำเหมืองสินแร่โลหะ
08,การทำเหมืองแร่ เหมืองแร่อโลหะและเหมืองหินอื่นๆ
09,"กิจกรรมบริการที่สนับสนุนการทำเหมืองแร่และสนับสนุน
การผลิตปิโตรเลียม"
10,การผลิตผลิตภัณฑ์อาหาร
11,การผลิตเครื่องดื่ม
12,การผลิตผลิตภัณฑ์จากยาสูบ
13,การผลิตสิ่งทอ
14,การผลิตเสื้อผ้าเครื่องแต่งกาย
15,การผลิตเครื่องหนัง และผลิตภัณฑ์ที่เกี่ยวข้อง
16,"การผลิตไม้และผลิตภัณฑ์จากไม้และไม้ก๊อก ยกเว้น
เฟอร์นิเจอร์ การผลิตสิ่งของจากฟางและวัสดุถักสานอื่นๆ"
17,การผลิตกระดาษ และผลิตภัณฑ์ที่แปรรูปจากกระดาษ
18,การพิมพ์และการผลิตซำ้สื่อบันทึก
19,การผลิตถ่านโค้ก และผลิตภัณฑ์จากการกลั่นปิโตรเลียม
20,การผลิตเคมีภัณฑ์และผลิตภัณฑ์เคมี
21,"การผลิตเภสัชภัณฑ์พื้นฐาน และการผลิตสูตรตำรับทาง
เภสัชกรรม"
22,การผลิตผลิตภัณฑ์ยางและพลาสติก
23,การผลิตผลิตภัณฑ์อื่นๆ ที่ทำจากแร่อโลหะ
24,การผลิตโลหะขั้นมูลฐาน
25,"การผลิตผลิตภัณฑ์ที่ทำจากโลหะประดิษฐ์ยกเว้น
เครื่องจักรและอุปกรณ์"
26,"การผลิตผลิตภัณฑ์คอมพิวเตอร์อิเล็กทรอนิกส์ และอุปกรณ์
ทางทัศนศาสตร์"
27,การผลิตอุปกรณ์ไฟฟ้า
28,การผลิตเครื่องจักรและเครื่องมือซึ่งมิได้จัดประเภทไว้ในที่อื่น
29,การผลิตยานยนต์รถพ่วงและรถกึ่งพ่วง
30,การผลิตอุปกรณ์ขนส่งอื่นๆ
31,การผลิตเฟอร์นิเจอร์
32,การผลิตผลิตภัณฑ์ประเภทอื่นๆ
33,การซ่อม และการติดตั้งเครื่องจักรและอุปกรณ
34,-
35,ไฟฟ้าก๊าซไอน้ำ และระบบการปรับอากาศ
36,การเก็บกักน้ำ การจัดหาน้ำและการจ่ายนำ้
37,การจัดการน้ำเสีย
38,"การเก็บรวบรวมของเสีย การบำบัดและการกำจัดของเสีย
การนำของเสียกลับมาใช้ใหม่"
39,กิจกรรมการบำบัด และการจัดบริการเก็บของเสียอื่นๆ
40,
41,การก่อสร้างอาคาร
42,งานวิศวกรรมโยธา
43,งานก่อสร้างเฉพาะทาง
44,
45,การขายส่งการขายปลีก การซ่อมยานยนต์และจักรยานยนต์
46,การขายส่ง ยกเว้น ยานยนต์และจักรยานยนต์
47,การขายปลีกยกเว้นยานยนต์และจักรยานยนต์
48,
49,การขนส่งทางบก และการขนส่งทางท่อลำเลียง
50,การขนส่งทางน้ำ
51,การขนส่งทางอากาศ
52,"กิจกรรมที่เกี่ยวกับคลังสินค้า และกิจกรรมสนับสนุนการ
ขนส่ง"
53,กิจกรรมไปรษณีย์และการรับส่งเอกสาร/สิ่งของ
54,
55,ที่พักแรม
56,การบริการด้านอาหารและเครื่องดื่ม
57,
58,การจัดพิมพ์จำหน่ายหรือเผยแพร่
59,"กิจกรรมการผลิตภาพยนตร์วีดิทัศน์และรายการโทรทัศน์
การบันทึกเสียง และการจัดพิมพ์จำหน่ายหรือเผยแพร่ดนตรี"
60,"กิจกรรมการจัดผังรายการโทรทัศน์และกิจกรรม
การแพร่ภาพกระจายเสียง"
61,การโทรคมนาคม
62,"กิจกรรมการจัดทำโปรแกรมคอมพิวเตอร์การให้คำปรึกษา
เกี่ยวกับคอมพิวเตอร์และกิจกรรมที่เกี่ยวข้อง"
63,กิจกรรมการบริการสารสนเทศ
